Groups:
MotorControl:MCA|HeartRateSetPoint =, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0],  unsigned decimal
MotorControl:MCA|HeartRate =, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0],  unsigned decimal
MotorControl:MCA|CurrentControl:CC|AssistanceRequirement =, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0],  unsigned decimal
MotorControl:MCA|CurrentControl:CC|MotorSignal =, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0],  binary
MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage =, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0],  binary

Data:
time unit: us, MotorControl:MCA|HeartRateSetPoint, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0], MotorControl:MCA|HeartRate, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0], MotorControl:MCA|CurrentControl:CC|MotorSignal, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
800, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100110111010, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 000011010001, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
1600, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100110111101, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 000011010001, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 
2400, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100111000000, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 001011001100, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 
3200, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110111111, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 001101111011, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 
4000, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100110111100, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 001101111011, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 
4800, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100110111001, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 010001100010, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
5600, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 527, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 100110110100, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 010001100010, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 
6400, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110101111, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 010010111110, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 
7200, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 529, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 100110101001, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 001010100010, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
8000, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110101000, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 001010100010, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
8800, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110100111, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 001010011111, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 
9600, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110100110, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 000110101001, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 
10400, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 529, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 100110100111, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 000110101001, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 
11200, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110101000, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 000001000100, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
12000, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110101100, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 000001000100, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
12800, 75, 0, 1, 0, 0, 1, 0, 1, 1, 88, 0, 1, 0, 1, 1, 0, 0, 0, 528, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 100110110000, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 000010010100, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 
