Groups:
MotorControl:MCA|HeartRateSetPoint =, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0],  hex
MotorControl:MCA|HeartRate =, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0],  binary
MotorControl:MCA|CurrentControl:CC|AssistanceRequirement =, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0],  binary
MotorControl:MCA|CurrentControl:CC|MotorSignal =, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0],  binary
MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage =, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0],  binary

Data:
time unit: s, MotorControl:MCA|HeartRateSetPoint, MotorControl:MCA|HeartRateSetPoint[7], MotorControl:MCA|HeartRateSetPoint[6], MotorControl:MCA|HeartRateSetPoint[5], MotorControl:MCA|HeartRateSetPoint[4], MotorControl:MCA|HeartRateSetPoint[3], MotorControl:MCA|HeartRateSetPoint[2], MotorControl:MCA|HeartRateSetPoint[1], MotorControl:MCA|HeartRateSetPoint[0], MotorControl:MCA|HeartRate, MotorControl:MCA|HeartRate[7], MotorControl:MCA|HeartRate[6], MotorControl:MCA|HeartRate[5], MotorControl:MCA|HeartRate[4], MotorControl:MCA|HeartRate[3], MotorControl:MCA|HeartRate[2], MotorControl:MCA|HeartRate[1], MotorControl:MCA|HeartRate[0], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement, MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[11], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[10], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[9], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[8], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[7], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[6], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[5], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[4], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[3], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[2], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[1], MotorControl:MCA|CurrentControl:CC|AssistanceRequirement[0], MotorControl:MCA|CurrentControl:CC|MotorSignal, MotorControl:MCA|CurrentControl:CC|MotorSignal[11], MotorControl:MCA|CurrentControl:CC|MotorSignal[10], MotorControl:MCA|CurrentControl:CC|MotorSignal[9], MotorControl:MCA|CurrentControl:CC|MotorSignal[8], MotorControl:MCA|CurrentControl:CC|MotorSignal[7], MotorControl:MCA|CurrentControl:CC|MotorSignal[6], MotorControl:MCA|CurrentControl:CC|MotorSignal[5], MotorControl:MCA|CurrentControl:CC|MotorSignal[4], MotorControl:MCA|CurrentControl:CC|MotorSignal[3], MotorControl:MCA|CurrentControl:CC|MotorSignal[2], MotorControl:MCA|CurrentControl:CC|MotorSignal[1], MotorControl:MCA|CurrentControl:CC|MotorSignal[0], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage, MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[11], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[10], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[9], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[8], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[7], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[6], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[5], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[4], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[3], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[2], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[1], MotorControl:MCA|CurrentControl:CC|PhaseWireVoltage[0], 
0, XX, X, X, X, X, X, X, X, X, XXXXXXXX, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000010100, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
2, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010001010, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 
3, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011110100, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
4, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011110100, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
5, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100010000, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
6, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100111110, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
7, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100111110, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
8, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100111010, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
9, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100111010, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
10, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010100100101, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
11, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011100111, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 
12, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001100, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010011100111, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 
13, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010010000110, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 
14, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000110010, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
15, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 010000110010, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
16, 50, 0, 1, 0, 1, 0, 0, 0, 0, 01011101, 0, 1, 0, 1, 1, 1, 0, 1, 001000001101, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 001110111000, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
